Prev_Gear,Current_Gear,Speed,Acceleration,Brake,Torque
2,2,42.322,142.4,1.6,353.45
2,2,42.496,142.4,1.6,380.11
2,2,42.588,142.4,1.6,393.45
2,2,42.808,142.4,1.6,423.47
2,2,42.885,142.4,1.6,433.45
2,2,43.161,142.4,1.6,467.38
2,2,43.212,142.4,1.6,473.45
2,2,43.481,142.4,1.6,503.83
2,2,43.57,142.4,1.6,513.45
2,2,43.802,142.4,1.6,516.24
2,2,43.945,142.4,1.6,515.11
2,2,44.318,142.4,1.6,513.81
2,2,44.691,142.4,1.6,513.47
2,2,45.063,142.4,1.6,513.45
2,2,45.435,142.4,1.6,513.42
2,2,45.807,142.4,1.6,513.36
2,2,46.179,142.4,1.6,513.3
2,2,46.55,142.4,1.6,511.87
2,2,46.92,142.4,1.6,511.07
2,2,47.29,142.4,1.6,510.74
2,2,47.659,142.4,1.6,510.51
2,2,48.027,142.4,1.6,510.3
2,2,48.396,142.4,1.6,510.05
2,2,48.763,142.4,1.6,509.6
2,2,49.131,142.4,1.6,509.48
2,2,49.498,142.4,1.6,508.78
2,2,49.864,142.4,1.6,507.89
2,2,50.23,142.4,1.6,506.98
2,2,50.594,142.4,1.6,506.07
2,2,50.958,142.4,1.6,504.71
2,2,51.32,142.4,1.6,503.66
2,2,51.682,142.4,1.6,502.7
2,2,52.042,142.4,1.6,501.75
2,2,52.402,142.4,1.6,500.81
2,2,52.761,142.4,1.6,499.88
2,2,53.118,142.4,1.6,498.95
2,2,53.475,142.4,1.6,498.03
2,2,53.831,142.4,1.6,497.11
2,2,54.187,142.4,1.6,496.2
2,2,54.541,142.4,1.6,495.29
2,2,54.895,142.4,1.6,494.38
2,2,55.247,142.4,1.6,493.48
2,2,55.599,142.4,1.6,492.59
2,2,55.949,142.4,1.6,490.7
2,2,56.298,142.4,1.6,489.5
2,2,56.6,142.4,1.6,489.66
2,2,56.647,142.4,1.6,489.72
2,2,56.881,142.4,1.6,490.07
2,2,56.996,142.4,1.6,490.26
2,2,57.345,142.4,1.6,490.85
2,2,57.694,142.4,1.6,491.43
2,2,58.043,142.4,1.6,492.02
2,2,58.393,142.4,1.6,492.61
2,2,58.743,142.4,1.6,493.2
2,2,59.093,142.4,1.6,493.79
2,2,59.443,142.4,1.6,494.38
2,2,59.794,142.4,1.6,494.97
2,2,60.145,142.4,1.6,495.56
2,2,60.496,142.4,1.6,496.14
2,2,60.848,142.4,1.6,496.73
2,2,61.199,142.4,1.6,497.32
2,2,61.551,142.4,1.6,497.9
2,2,61.904,142.4,1.6,498.49
2,2,62.256,142.4,1.6,499.08
2,2,62.609,142.4,1.6,499.66
2,2,62.961,142.4,1.6,499
2,2,63.312,142.4,1.6,496.26
2,2,63.661,142.4,1.6,493.32
2,2,64.007,142.4,1.6,490.38
2,2,64.351,142.4,1.6,487.46
2,2,64.692,142.4,1.6,484.57
2,2,65.031,142.4,1.6,481.71
2,2,65.367,142.4,1.6,478.88
2,2,65.701,142.4,1.6,476.08
2,2,66.033,142.4,1.6,473.31
2,2,66.362,142.4,1.6,470.57
2,2,66.69,142.4,1.6,467.85
2,2,67.014,142.4,1.6,465.17
